loan_id,borrower_id,loan_amount,interest_rate,origination_date,maturity_date,lender_id,loan_status,loan_grade,loan_use,origination_month,credit_bureau_score,internal_score,origination_fee_amount,loan_sequence_number
LOAN_061,BORR_018,5000,12.827024817207736,2021-01-13,2023-01-13,LEND_001,Active,D,Business,2021-01-01,735,573,100.0,1
LOAN_062,BORR_038,20000,13.233715738216299,2022-04-03,2024-04-02,LEND_001,Active,A,Business,2022-04-01,700,504,400.0,2
LOAN_063,BORR_048,10000,15.621481309313628,2022-08-12,2024-08-11,LEND_001,PaidOff,B,Debt Cons,2022-08-01,588,594,200.0,2
LOAN_064,BORR_048,10000,10.064225651233777,2021-09-21,2022-09-21,LEND_001,Active,B,Debt Cons,2021-09-01,630,571,200.0,2
LOAN_065,BORR_031,5000,8.964436782621583,2021-05-07,2023-05-07,LEND_001,Active,D,Home Improvement,2021-05-01,684,585,100.0,1
LOAN_066,BORR_010,5000,14.784325758384995,2022-08-29,2023-08-29,LEND_001,Active,A,Debt Cons,2022-08-01,780,745,100.0,2
LOAN_067,BORR_045,10000,15.008520619200404,2022-05-15,2023-05-15,LEND_001,Active,B,Business,2022-05-01,588,582,200.0,1
LOAN_068,BORR_017,5000,9.892915069780672,2022-10-21,2023-10-21,LEND_001,PaidOff,C,Debt Cons,2022-10-01,739,417,100.0,3
LOAN_069,BORR_004,15000,10.652840135303654,2021-05-05,2023-05-05,LEND_001,Defaulted,A,Business,2021-05-01,607,405,300.0,3
LOAN_070,BORR_026,5000,16.75903475968638,2022-05-19,2023-05-19,LEND_001,Active,D,Debt Cons,2022-05-01,626,526,100.0,1
LOAN_071,BORR_042,15000,9.407199858574387,2021-09-06,2022-09-06,LEND_001,Defaulted,A,Home Improvement,2021-09-01,636,686,300.0,2
LOAN_072,BORR_001,20000,12.222054807440513,2021-03-08,2023-03-08,LEND_001,Active,D,Business,2021-03-01,783,630,400.0,1
LOAN_073,BORR_041,10000,13.258644478831911,2022-04-12,2023-04-12,LEND_001,Active,C,Business,2022-04-01,848,673,200.0,3
LOAN_074,BORR_001,15000,15.752091819856144,2021-08-05,2022-08-05,LEND_001,Active,D,Education,2021-08-01,774,537,300.0,2
LOAN_075,BORR_044,20000,17.95601501224132,2021-09-18,2022-09-18,LEND_001,Defaulted,B,Medical,2021-09-01,848,506,400.0,1
LOAN_076,BORR_019,20000,14.0135759173853,2021-12-23,2022-12-23,LEND_001,Active,A,Debt Cons,2021-12-01,587,504,400.0,1
LOAN_077,BORR_040,5000,9.36874298321256,2022-10-02,2023-10-02,LEND_001,PaidOff,C,Debt Cons,2022-10-01,762,430,100.0,1
LOAN_078,BORR_047,10000,9.818963637837967,2022-08-17,2023-08-17,LEND_001,Active,A,Home Improvement,2022-08-01,603,415,200.0,1
LOAN_079,BORR_001,20000,17.301231398361807,2022-02-01,2024-02-01,LEND_001,Active,B,Home Improvement,2022-02-01,707,636,400.0,2
LOAN_080,BORR_035,10000,15.024351256711181,2021-05-12,2023-05-12,LEND_001,Active,B,Home Improvement,2021-05-01,831,588,200.0,3
LOAN_081,BORR_013,5000,15.383786054345002,2022-01-31,2024-01-31,LEND_001,Active,C,Medical,2022-01-01,717,501,100.0,3
LOAN_082,BORR_006,10000,17.517805472698072,2022-05-03,2023-05-03,LEND_001,Active,B,Home Improvement,2022-05-01,628,477,200.0,1
LOAN_083,BORR_039,10000,15.825866687598872,2021-05-21,2022-05-21,LEND_001,Active,C,Business,2021-05-01,729,603,200.0,1
LOAN_084,BORR_035,15000,15.53526145121847,2022-09-13,2024-09-12,LEND_001,Active,C,Home Improvement,2022-09-01,784,467,300.0,3
LOAN_085,BORR_037,5000,13.541013314788616,2022-11-28,2024-11-27,LEND_001,Active,B,Home Improvement,2022-11-01,572,586,100.0,2
LOAN_086,BORR_049,15000,16.471108563296998,2021-02-08,2023-02-08,LEND_001,Active,C,Education,2021-02-01,651,738,300.0,1
LOAN_087,BORR_040,5000,14.742446169454762,2021-06-24,2023-06-24,LEND_001,Active,C,Debt Cons,2021-06-01,620,602,100.0,1
LOAN_088,BORR_031,5000,12.815676995691716,2022-07-22,2024-07-21,LEND_001,Active,D,Business,2022-07-01,683,600,100.0,3
LOAN_089,BORR_013,10000,14.375377604794444,2022-09-01,2024-08-31,LEND_001,Active,C,Medical,2022-09-01,580,441,200.0,2
LOAN_090,BORR_039,15000,8.354582374075857,2021-01-08,2023-01-08,LEND_001,Active,C,Home Improvement,2021-01-01,775,673,300.0,1
LOAN_091,BORR_025,15000,14.152686209110676,2021-11-05,2023-11-05,LEND_001,Active,A,Home Improvement,2021-11-01,617,511,300.0,2
LOAN_092,BORR_004,20000,10.056423582467527,2021-07-11,2022-07-11,LEND_001,Active,B,Business,2021-07-01,605,628,400.0,1
LOAN_093,BORR_041,20000,8.142801079212074,2022-09-01,2024-08-31,LEND_001,Active,D,Business,2022-09-01,750,567,400.0,3
LOAN_094,BORR_010,20000,17.608432347086367,2022-08-12,2024-08-11,LEND_001,Active,A,Medical,2022-08-01,560,727,400.0,2
LOAN_095,BORR_021,5000,15.418422661468853,2022-08-13,2023-08-13,LEND_001,Defaulted,C,Home Improvement,2022-08-01,767,601,100.0,3
LOAN_096,BORR_035,20000,16.720243870392675,2022-08-01,2024-07-31,LEND_001,Active,C,Home Improvement,2022-08-01,652,682,400.0,3
LOAN_097,BORR_014,5000,11.9652837395444,2022-10-29,2023-10-29,LEND_001,Active,A,Debt Cons,2022-10-01,555,476,100.0,1
LOAN_098,BORR_040,15000,14.06932934550293,2022-12-16,2023-12-16,LEND_001,Defaulted,A,Debt Cons,2022-12-01,550,550,300.0,2
LOAN_099,BORR_018,15000,9.583776175615547,2021-05-12,2023-05-12,LEND_001,Active,C,Debt Cons,2021-05-01,738,456,300.0,2
LOAN_100,BORR_044,5000,11.706608969075223,2022-06-23,2024-06-22,LEND_001,Active,D,Debt Cons,2022-06-01,599,417,100.0,2
LOAN_101,BORR_049,20000,10.571260436576221,2021-07-13,2022-07-13,LEND_001,Active,C,Home Improvement,2021-07-01,771,739,400.0,2
LOAN_102,BORR_039,20000,14.120982962846014,2022-03-21,2023-03-21,LEND_001,Active,D,Debt Cons,2022-03-01,711,432,400.0,2
LOAN_103,BORR_006,15000,11.240672019881,2021-04-28,2022-04-28,LEND_001,Active,A,Home Improvement,2021-04-01,639,716,300.0,1
LOAN_104,BORR_011,20000,10.594678111630488,2021-07-15,2023-07-15,LEND_001,Active,C,Debt Cons,2021-07-01,824,437,400.0,2
LOAN_105,BORR_045,15000,8.029239127345363,2021-03-24,2022-03-24,LEND_001,Defaulted,B,Business,2021-03-01,702,743,300.0,1
LOAN_106,BORR_043,10000,16.35548564604264,2021-08-15,2023-08-15,LEND_001,PaidOff,C,Business,2021-08-01,688,466,200.0,2
LOAN_107,BORR_029,15000,12.56020797960381,2021-03-13,2022-03-13,LEND_001,Active,D,Home Improvement,2021-03-01,612,643,300.0,3
LOAN_108,BORR_034,10000,15.470876161099536,2022-05-19,2024-05-18,LEND_001,Active,B,Medical,2022-05-01,577,404,200.0,2
LOAN_109,BORR_012,20000,17.246164506248114,2021-02-10,2022-02-10,LEND_001,Defaulted,A,Debt Cons,2021-02-01,795,512,400.0,1
LOAN_110,BORR_048,20000,16.64533060745344,2021-06-13,2022-06-13,LEND_001,Active,A,Debt Cons,2021-06-01,575,523,400.0,2
LOAN_111,BORR_047,20000,17.86474676262104,2022-04-16,2024-04-15,LEND_001,Active,A,Debt Cons,2022-04-01,602,552,400.0,2
LOAN_112,BORR_045,5000,14.275729242703578,2022-01-10,2024-01-10,LEND_001,Active,C,Medical,2022-01-01,595,729,100.0,1
LOAN_113,BORR_011,5000,8.88630653958662,2022-01-25,2024-01-25,LEND_001,Active,D,Debt Cons,2022-01-01,828,702,100.0,2
LOAN_114,BORR_028,5000,12.713942909763443,2022-10-05,2024-10-04,LEND_001,PaidOff,D,Education,2022-10-01,596,416,100.0,1
LOAN_115,BORR_039,10000,15.203469208311706,2022-10-23,2024-10-22,LEND_001,Active,C,Debt Cons,2022-10-01,713,572,200.0,3
LOAN_116,BORR_014,5000,16.737801093735442,2022-01-09,2024-01-09,LEND_001,Active,C,Medical,2022-01-01,575,607,100.0,2
LOAN_117,BORR_047,10000,16.404284112170863,2021-02-27,2023-02-27,LEND_001,Active,B,Home Improvement,2021-02-01,827,406,200.0,2
LOAN_118,BORR_049,10000,11.714230409364482,2022-04-29,2024-04-28,LEND_001,Active,B,Education,2022-04-01,798,664,200.0,2
LOAN_119,BORR_034,15000,16.674695045247887,2022-05-09,2024-05-08,LEND_001,Active,B,Business,2022-05-01,747,550,300.0,2
LOAN_120,BORR_050,5000,16.132778650341756,2022-04-21,2024-04-20,LEND_001,Active,A,Debt Cons,2022-04-01,804,584,100.0,3
LOAN_121,BORR_044,10000,14.263926399534391,2022-10-14,2023-10-14,LEND_001,Active,B,Home Improvement,2022-10-01,595,613,200.0,2
LOAN_122,BORR_004,20000,9.419574620555089,2022-12-26,2024-12-25,LEND_001,Active,C,Medical,2022-12-01,560,469,400.0,3
LOAN_123,BORR_046,15000,12.810392685552436,2022-03-04,2023-03-04,LEND_001,Active,B,Business,2022-03-01,640,534,300.0,1
LOAN_124,BORR_042,20000,9.437863296300106,2021-04-30,2022-04-30,LEND_001,Defaulted,D,Education,2021-04-01,692,669,400.0,2
LOAN_125,BORR_004,15000,8.868701370936469,2021-07-21,2022-07-21,LEND_001,PaidOff,D,Debt Cons,2021-07-01,612,601,300.0,2
LOAN_126,BORR_037,5000,17.2505134364905,2021-02-24,2022-02-24,LEND_001,Active,A,Home Improvement,2021-02-01,582,615,100.0,3
LOAN_127,BORR_001,10000,16.47645963048411,2021-03-12,2022-03-12,LEND_001,Active,C,Medical,2021-03-01,830,713,200.0,2
LOAN_128,BORR_027,15000,12.106964541226128,2022-09-23,2024-09-22,LEND_001,Active,D,Medical,2022-09-01,719,567,300.0,3
LOAN_129,BORR_023,15000,12.500134516995601,2021-12-28,2023-12-28,LEND_001,Active,D,Debt Cons,2021-12-01,731,505,300.0,1
LOAN_130,BORR_030,15000,10.559779465505834,2021-10-08,2022-10-08,LEND_001,PaidOff,A,Medical,2021-10-01,619,574,300.0,3
LOAN_131,BORR_044,10000,10.490233504035562,2021-09-25,2023-09-25,LEND_001,Active,A,Home Improvement,2021-09-01,814,730,200.0,3
LOAN_132,BORR_018,10000,11.833737268768461,2022-11-14,2024-11-13,LEND_001,Active,D,Business,2022-11-01,755,479,200.0,1
LOAN_133,BORR_032,5000,12.675275085907309,2021-09-08,2022-09-08,LEND_001,Active,B,Education,2021-09-01,692,556,100.0,2
LOAN_134,BORR_042,10000,11.061973724019396,2022-08-31,2023-08-31,LEND_001,Active,B,Debt Cons,2022-08-01,789,708,200.0,2
LOAN_135,BORR_014,20000,17.124002077704482,2022-10-05,2024-10-04,LEND_001,Active,B,Medical,2022-10-01,674,432,400.0,1
LOAN_136,BORR_021,20000,11.367820902699377,2022-09-11,2023-09-11,LEND_001,Active,A,Business,2022-09-01,609,494,400.0,3
LOAN_137,BORR_036,15000,15.961488872633428,2022-12-02,2024-12-01,LEND_001,Active,B,Business,2022-12-01,663,708,300.0,3
LOAN_138,BORR_015,5000,13.191896571697615,2021-01-19,2022-01-19,LEND_001,Active,C,Medical,2021-01-01,556,514,100.0,2
LOAN_139,BORR_028,20000,17.067760923625627,2022-07-17,2023-07-17,LEND_001,Active,B,Business,2022-07-01,730,553,400.0,3
LOAN_140,BORR_001,20000,13.986898234375484,2021-01-13,2022-01-13,LEND_001,Active,C,Medical,2021-01-01,648,691,400.0,3
LOAN_141,BORR_035,5000,16.667823919743803,2022-01-02,2023-01-02,LEND_001,Active,A,Medical,2022-01-01,581,440,100.0,2
LOAN_142,BORR_016,15000,14.9758461350317,2021-05-30,2023-05-30,LEND_001,PaidOff,B,Education,2021-05-01,786,669,300.0,2
LOAN_143,BORR_041,15000,8.929757365816648,2022-06-25,2024-06-24,LEND_001,Active,D,Business,2022-06-01,555,736,300.0,2
LOAN_144,BORR_030,5000,9.181554516767147,2021-03-15,2022-03-15,LEND_001,Active,A,Business,2021-03-01,680,723,100.0,1
LOAN_145,BORR_041,20000,15.752437111995281,2022-11-13,2024-11-12,LEND_001,PaidOff,C,Education,2022-11-01,790,545,400.0,2
LOAN_146,BORR_014,15000,8.391653649823214,2022-12-20,2023-12-20,LEND_001,Active,A,Home Improvement,2022-12-01,627,747,300.0,2
LOAN_147,BORR_036,5000,11.707362573327865,2021-11-07,2022-11-07,LEND_001,Active,A,Home Improvement,2021-11-01,731,589,100.0,1
LOAN_148,BORR_001,10000,8.692876273899182,2021-04-26,2022-04-26,LEND_001,PaidOff,C,Education,2021-04-01,744,409,200.0,1
LOAN_149,BORR_026,5000,11.622553713124308,2021-12-30,2023-12-30,LEND_001,Active,A,Medical,2021-12-01,660,508,100.0,1
LOAN_150,BORR_006,10000,9.380192337605392,2021-02-04,2023-02-04,LEND_001,Active,B,Home Improvement,2021-02-01,566,738,200.0,3
LOAN_151,BORR_005,15000,17.91322780490509,2021-08-17,2022-08-17,LEND_001,Active,A,Education,2021-08-01,702,660,300.0,3
LOAN_152,BORR_050,15000,11.116283953959389,2022-03-11,2023-03-11,LEND_001,Active,B,Debt Cons,2022-03-01,709,646,300.0,1
LOAN_153,BORR_018,20000,8.597294473206587,2022-06-07,2023-06-07,LEND_001,Active,C,Education,2022-06-01,784,542,400.0,3
LOAN_154,BORR_021,15000,16.069168921713185,2021-12-13,2023-12-13,LEND_001,Defaulted,C,Business,2021-12-01,748,406,300.0,3
LOAN_155,BORR_001,5000,12.263992753722558,2021-05-24,2023-05-24,LEND_001,Active,A,Debt Cons,2021-05-01,566,482,100.0,3
LOAN_156,BORR_031,5000,11.515726882608622,2022-09-05,2024-09-04,LEND_001,Active,A,Debt Cons,2022-09-01,638,714,100.0,3
LOAN_157,BORR_029,15000,12.444345340229894,2021-05-21,2022-05-21,LEND_001,Active,C,Education,2021-05-01,612,511,300.0,2
LOAN_158,BORR_003,5000,15.754236348292096,2021-07-04,2023-07-04,LEND_001,Active,C,Business,2021-07-01,718,443,100.0,2
LOAN_159,BORR_035,10000,10.909091861890523,2021-04-05,2023-04-05,LEND_001,Active,A,Education,2021-04-01,694,446,200.0,3
LOAN_160,BORR_021,5000,16.416748610957672,2021-09-22,2023-09-22,LEND_001,Active,C,Education,2021-09-01,623,453,100.0,1
LOAN_161,BORR_042,15000,16.408772950600664,2022-01-19,2023-01-19,LEND_001,Active,D,Medical,2022-01-01,758,480,300.0,2
LOAN_162,BORR_034,20000,12.466104767028735,2021-09-04,2023-09-04,LEND_001,Active,C,Medical,2021-09-01,594,475,400.0,3
LOAN_163,BORR_013,20000,8.820301238319178,2022-04-07,2024-04-06,LEND_001,Active,A,Debt Cons,2022-04-01,719,708,400.0,2
LOAN_164,BORR_047,5000,15.54720990839113,2022-09-18,2024-09-17,LEND_001,PaidOff,D,Home Improvement,2022-09-01,756,539,100.0,1
LOAN_165,BORR_033,15000,8.934523566452523,2021-04-21,2022-04-21,LEND_001,Active,D,Debt Cons,2021-04-01,761,523,300.0,3
LOAN_166,BORR_037,15000,11.880703665025653,2021-09-21,2023-09-21,LEND_001,Active,D,Debt Cons,2021-09-01,679,632,300.0,1
LOAN_167,BORR_030,20000,15.062949533670324,2021-03-23,2023-03-23,LEND_001,PaidOff,D,Home Improvement,2021-03-01,613,621,400.0,3
LOAN_168,BORR_015,10000,8.124518906647756,2021-07-10,2023-07-10,LEND_001,Active,C,Home Improvement,2021-07-01,646,437,200.0,3
LOAN_169,BORR_023,15000,15.247057387726851,2021-11-17,2023-11-17,LEND_001,PaidOff,A,Home Improvement,2021-11-01,779,642,300.0,2
LOAN_170,BORR_011,5000,14.274807611331166,2022-10-17,2023-10-17,LEND_001,Active,C,Education,2022-10-01,582,470,100.0,2
LOAN_171,BORR_041,20000,10.765105234913129,2021-10-11,2023-10-11,LEND_001,Active,B,Business,2021-10-01,774,467,400.0,1
LOAN_172,BORR_016,10000,11.99142803052657,2021-12-03,2023-12-03,LEND_001,Active,B,Education,2021-12-01,812,734,200.0,2
LOAN_173,BORR_038,20000,16.72339048512139,2022-05-12,2023-05-12,LEND_001,Active,D,Medical,2022-05-01,664,420,400.0,3
LOAN_174,BORR_015,5000,9.680492003616743,2022-05-10,2023-05-10,LEND_001,Defaulted,C,Business,2022-05-01,715,422,100.0,2
LOAN_175,BORR_028,10000,10.845909184780929,2022-05-14,2024-05-13,LEND_001,Active,C,Home Improvement,2022-05-01,745,520,200.0,1
LOAN_176,BORR_023,10000,17.926173238455757,2021-07-31,2023-07-31,LEND_001,PaidOff,B,Home Improvement,2021-07-01,657,664,200.0,2
LOAN_177,BORR_032,10000,15.833056914332422,2021-12-05,2022-12-05,LEND_001,PaidOff,B,Medical,2021-12-01,782,717,200.0,2
LOAN_178,BORR_019,15000,17.464060820021214,2021-08-14,2022-08-14,LEND_001,Defaulted,A,Education,2021-08-01,691,472,300.0,2
LOAN_179,BORR_013,10000,9.207316013258522,2021-01-16,2022-01-16,LEND_001,Active,B,Business,2021-01-01,839,578,200.0,3
LOAN_180,BORR_006,15000,16.771044217930527,2021-05-20,2022-05-20,LEND_001,Active,C,Debt Cons,2021-05-01,740,589,300.0,3
LOAN_181,BORR_009,15000,17.65659455976253,2021-11-14,2022-11-14,LEND_001,PaidOff,D,Business,2021-11-01,642,684,300.0,2
LOAN_182,BORR_008,10000,15.342313300633434,2021-11-24,2023-11-24,LEND_001,PaidOff,C,Debt Cons,2021-11-01,839,659,200.0,2
LOAN_183,BORR_017,15000,12.586498952027007,2022-10-21,2023-10-21,LEND_001,Active,A,Home Improvement,2022-10-01,756,431,300.0,1
LOAN_184,BORR_027,20000,9.78584111662562,2022-03-22,2023-03-22,LEND_001,Active,C,Business,2022-03-01,720,555,400.0,1
LOAN_185,BORR_044,10000,15.81355612336707,2022-02-05,2024-02-05,LEND_001,Active,C,Business,2022-02-01,844,737,200.0,2
LOAN_186,BORR_025,5000,16.791760600169006,2021-08-31,2023-08-31,LEND_001,PaidOff,B,Medical,2021-08-01,741,591,100.0,3
LOAN_187,BORR_037,10000,10.188344869706233,2022-03-21,2024-03-20,LEND_001,Active,B,Home Improvement,2022-03-01,806,458,200.0,1
LOAN_188,BORR_017,5000,8.84081305129829,2022-05-26,2024-05-25,LEND_001,Active,C,Business,2022-05-01,675,600,100.0,1
LOAN_189,BORR_003,20000,12.889006136503326,2021-08-13,2023-08-13,LEND_001,Active,D,Debt Cons,2021-08-01,774,528,400.0,2
LOAN_190,BORR_033,5000,14.590924487462479,2021-10-02,2022-10-02,LEND_001,Active,B,Medical,2021-10-01,614,503,100.0,3
LOAN_191,BORR_017,20000,17.034954278497555,2021-04-06,2022-04-06,LEND_001,Active,B,Education,2021-04-01,726,509,400.0,2
LOAN_192,BORR_037,15000,15.550582235395078,2021-09-15,2023-09-15,LEND_001,PaidOff,B,Medical,2021-09-01,783,506,300.0,2
