collateral_id,valuation_date,collateral_value
COLL_0059,2021-06-26,22500.0
COLL_0060,2021-01-13,7500.0
COLL_0061,2022-04-03,30000.0
COLL_0062,2022-08-12,15000.0
COLL_0063,2021-09-21,15000.0
COLL_0064,2021-05-07,7500.0
COLL_0065,2022-08-29,7500.0
COLL_0066,2022-05-15,15000.0
COLL_0067,2022-10-21,7500.0
COLL_0068,2021-05-05,22500.0
COLL_0069,2022-05-19,7500.0
COLL_0070,2021-09-06,22500.0
COLL_0071,2021-03-08,30000.0
COLL_0072,2022-04-12,15000.0
COLL_0073,2021-08-05,22500.0
COLL_0074,2021-09-18,30000.0
COLL_0075,2021-12-23,30000.0
COLL_0076,2022-10-02,7500.0
COLL_0077,2022-08-17,15000.0
COLL_0078,2022-02-01,30000.0
COLL_0079,2021-05-12,15000.0
COLL_0080,2022-01-31,7500.0
COLL_0081,2022-05-03,15000.0
COLL_0082,2021-05-21,15000.0
COLL_0083,2022-09-13,22500.0
COLL_0084,2022-11-28,7500.0
COLL_0085,2021-02-08,22500.0
COLL_0086,2021-06-24,7500.0
COLL_0087,2022-07-22,7500.0
COLL_0088,2022-09-01,15000.0
COLL_0089,2021-01-08,22500.0
COLL_0090,2021-11-05,22500.0
COLL_0091,2021-07-11,30000.0
COLL_0092,2022-09-01,30000.0
COLL_0093,2022-08-12,30000.0
COLL_0094,2022-08-13,7500.0
COLL_0095,2022-08-01,30000.0
COLL_0096,2022-10-29,7500.0
COLL_0097,2022-12-16,22500.0
COLL_0098,2021-05-12,22500.0
COLL_0099,2022-06-23,7500.0
COLL_0100,2021-07-13,30000.0
COLL_0101,2022-03-21,30000.0
COLL_0102,2021-04-28,22500.0
COLL_0103,2021-07-15,30000.0
COLL_0104,2021-03-24,22500.0
COLL_0105,2021-08-15,15000.0
COLL_0106,2021-03-13,22500.0
COLL_0107,2022-05-19,15000.0
COLL_0108,2021-02-10,30000.0
COLL_0109,2021-06-13,30000.0
COLL_0110,2022-04-16,30000.0
COLL_0111,2022-01-10,7500.0
COLL_0112,2022-01-25,7500.0
COLL_0113,2022-10-05,7500.0
COLL_0114,2022-10-23,15000.0
COLL_0115,2022-01-09,7500.0
COLL_0116,2021-02-27,15000.0
COLL_0117,2022-04-29,15000.0
COLL_0118,2022-05-09,22500.0
COLL_0119,2022-04-21,7500.0
COLL_0120,2022-10-14,15000.0
COLL_0121,2022-12-26,30000.0
COLL_0122,2022-03-04,22500.0
COLL_0123,2021-04-30,30000.0
COLL_0124,2021-07-21,22500.0
COLL_0125,2021-02-24,7500.0
COLL_0126,2021-03-12,15000.0
COLL_0127,2022-09-23,22500.0
COLL_0128,2021-12-28,22500.0
COLL_0129,2021-10-08,22500.0
COLL_0130,2021-09-25,15000.0
COLL_0131,2022-11-14,15000.0
COLL_0132,2021-09-08,7500.0
COLL_0133,2022-08-31,15000.0
COLL_0134,2022-10-05,30000.0
COLL_0135,2022-09-11,30000.0
COLL_0136,2022-12-02,22500.0
COLL_0137,2021-01-19,7500.0
COLL_0138,2022-07-17,30000.0
COLL_0139,2021-01-13,30000.0
COLL_0140,2022-01-02,7500.0
COLL_0141,2021-05-30,22500.0
COLL_0142,2022-06-25,22500.0
COLL_0143,2021-03-15,7500.0
COLL_0144,2022-11-13,30000.0
COLL_0145,2022-12-20,22500.0
COLL_0146,2021-11-07,7500.0
COLL_0147,2021-04-26,15000.0
COLL_0148,2021-12-30,7500.0
COLL_0149,2021-02-04,15000.0
COLL_0150,2021-08-17,22500.0
COLL_0151,2022-03-11,22500.0
COLL_0152,2022-06-07,30000.0
COLL_0153,2021-12-13,22500.0
COLL_0154,2021-05-24,7500.0
COLL_0155,2022-09-05,7500.0
COLL_0156,2021-05-21,22500.0
COLL_0157,2021-07-04,7500.0
COLL_0158,2021-04-05,15000.0
COLL_0159,2021-09-22,7500.0
COLL_0160,2022-01-19,22500.0
COLL_0161,2021-09-04,30000.0
COLL_0162,2022-04-07,30000.0
COLL_0163,2022-09-18,7500.0
COLL_0164,2021-04-21,22500.0
COLL_0165,2021-09-21,22500.0
COLL_0166,2021-03-23,30000.0
COLL_0167,2021-07-10,15000.0
COLL_0168,2021-11-17,22500.0
COLL_0169,2022-10-17,7500.0
COLL_0170,2021-10-11,30000.0
COLL_0171,2021-12-03,15000.0
COLL_0172,2022-05-12,30000.0
COLL_0173,2022-05-10,7500.0
COLL_0174,2022-05-14,15000.0
COLL_0175,2021-07-31,15000.0
COLL_0176,2021-12-05,15000.0
COLL_0177,2021-08-14,22500.0
COLL_0178,2021-01-16,15000.0
COLL_0179,2021-05-20,22500.0
COLL_0180,2021-11-14,22500.0
COLL_0181,2021-11-24,15000.0
COLL_0182,2022-10-21,22500.0
COLL_0183,2022-03-22,30000.0
COLL_0184,2022-02-05,15000.0
COLL_0185,2021-08-31,7500.0
COLL_0186,2022-03-21,15000.0
COLL_0187,2022-05-26,7500.0
COLL_0188,2021-08-13,30000.0
COLL_0189,2021-10-02,7500.0
COLL_0190,2021-04-06,30000.0
COLL_0191,2021-09-15,22500.0
COLL_0192,2021-10-26,7500.0
COLL_0193,2021-06-09,15000.0
COLL_0194,2022-12-29,22500.0
COLL_0195,2022-11-20,7500.0
COLL_0196,2021-11-01,15000.0
COLL_0197,2022-08-08,7500.0
COLL_0198,2021-02-17,30000.0
COLL_0199,2022-06-10,15000.0
